title,salary,company,posted,district,job_description,Career Level,Years of Experience,Company Website,Qualification,Job Type,Job Functions,url
Data Analyst / Data Engineer,salary,OCBC Wing Hang Bank Limited,2022-11-10,Shau Kei Wan,"Responsibilities
Assist HoD to prepare the audit analytics roadmap and implementation plan and monitor the progress/achievement of the plan.
Work with internal auditors to formulate audit analytics' requirements.
Liaise with business units and/or Information Technology Division to obtain relevant data for audit analytics purpose.
Partner with other data analyst(s) to develop a set of audit analytics tools and/or dashboards by leveraging auditing rules and/or machine learning capabilities.
Work with other data analyst(s) to perform routine maintenance of the developed audit analytics tools and/or dashboards
Assist HoD to develop and maintain
a.           Audit analytics methodology and procedures to govern the audit analytics lifecycle and documentation
b.           Knowledge of leading practices and activities relevant to audit analytics
Assist HoD in the engagement with key stakeholders, which include line/senior management, external auditors and regulators.
Requirements
Bachelor Degree in Data Science, Computer Science, Accounting, Business Administration, Finance, Mathematics, Statistics or related discipline.
Minimum 4-5 years of financial industry experience with 1-2 years of relevant experience in data analytics. 
Sound knowledge of data analytics, including data preparation, data interpretation, model development and testing
Proficiency of analytical tools and programming language (e.g. SAS, Python, ACL, SQL) and data visualization tools (e.g. PowerBI/Qlikview)
Possess qualifications of ECF-AML would be an advantage
Knowledge of audit methodology, risk management and/or financial industry is an advantage
Good command of English (Oral & Written)
Strong analytical, organizational, problem-solving and communication skills
Dynamic and good interpersonal skill
High level of integrity and drive, ability to work under pressure
Ability to multi-task and possesses strong time management skill
Good collaboration and growth mindset
Attractive remuneration package will be offered to the right candidate. Please apply with full resume stating present & expected salary and contact phone number to The Human Resources Manager, 10/F, 161 Queen’s Road Central, Hong Kong. Please quote the reference.
Personal data collected will be used for recruitment purpose only. For more information, please visit our website: http://www.ocbcwhhk.com.",Middle,5 years,http://www.ocbcwhhk.com,Degree,"Full Time, Permanent","Accounting, Audit, Banking / Finance, Retail Banking, Information Technology (IT), Data Scientist",https://hk.jobsdb.com/hk/en/job/data-analyst-data-engineer-100003009851289?jobId=jobsdb-hk-job-100003009851289&sectionRank=343&token=0~e715eac5-4649-4bd2-8c3d-4d7c0d14fde2&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F12
"Data Science Assistant Manager (MNC, Attractive Bonus)",salary,Manpower Services (Hong Kong) Limited,2022-11-11,Tsing Yi,"Job Responsibilities
Responsible for project development and developing appropriate data science solutions
Lead the implementation of data science initiatives to improve customer engagement, business processes and product enhancements
Analyze and review complex data from multiple internal and external sources to make informed, authoritative technical/ professional recommendations in order to improve business performance in the medium and longer-term
Perform key management and thought leadership roles in the areas of advanced data techniques, including data modelling, data access, data integration, data visualization
Job Requirements
Degree or above in Data Science, Computer Science, Mathematics or related disciplines
Minimum 5 years of relevant working experience, preferably in leading data science projects
Strong in machine learning concepts, algorithms, Python and SQL
Experience in AI Project development
Proficient in using Power BI, Tableau, Azure
Good command of both written and spoken English and Chinese",Senior,5 years,http://www.manpowergroupgrc.hk,Degree,Permanent,"Information Technology (IT), IT Project Management / Team Lead, Others, Data Scientist",https://hk.jobsdb.com/hk/en/job/data-science-assistant-manager-mnc-attractive-bonus-100003009853879?jobId=jobsdb-hk-job-100003009853879&sectionRank=344&token=0~e715eac5-4649-4bd2-8c3d-4d7c0d14fde2&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F12
Data Engineer/ Scientist,"HK$25,000 - HK$30,000 /month",Links International,2022-11-10,district,"Our client is a listed electrical and mechanical engineering company. They are currently looking for a Data Engineer/ Scientist to support their growing Innovation team.

Responsibilities:


Source, cleanse and consolidate data from different electrical and mechanical systems, forming the big data infrastructure through cloud services such as AWS, Azure or GCP
Conduct data analysis of large transaction data sets and data preparation for visualization or analytics/modelling
Assist in developing machine learning model through Python to optimize energy and chemical usage in electrical and mechanical system
Requirements:
Degree holder preferably in Computer Science, Physics, Electronic, Math and Statistics or related discipline
1 to 3 years of experience in Data or Business Intelligence Domain, data pipeline and software development
Experience in collecting, relating, preparing and modelling data from disparate sources for reporting & analysis
Must have Python programming experience in previous projects/jobs
Experience in ETL/ELT process and big data framework such as Hadoop, Spark
Experience in Kubernetes / Docker / Java / SQL
Experience in cloud services, AWS, Azure or GCP certified will be an advantage
Experience in machine learning / Pandas / Numpy / sklearn will be an advantage
Interested parties, please click ""Apply"" to complete the application process. You can also reach Anson Fung at 3915 0278 for confidential discussion",Entry Level,1 year,http://www.linksinternational.com/,Degree,"Full Time, Permanent","Information Technology (IT), Product Management / Business Analyst, Data Scientist",https://hk.jobsdb.com/hk/en/job/data-engineer-scientist-100003009852401?jobId=jobsdb-hk-job-100003009852401&sectionRank=345&token=0~e715eac5-4649-4bd2-8c3d-4d7c0d14fde2&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F12
"Senior Data Management and Analytics Manager (Up to 50K+/month, Bonus, Medical, Competitive package)",salary,ADECCO,2022-11-11,Central & Western Area,"Our client is a well reputable company in Hong Kong They are looking for a dedicated Senior Data Management and Analytics Manager to cope with their business.

Responsibilities:
Plan and design the implementation of effective strategic data-driven marketing by well understanding client’s need;
Review and evaluate results to bring together insights for business stakeholders;
Through the use of Analytics tools to monitor large quantities of data and provide actionable business insights and provide recommendation on improvement;
Implement, monitor and manage the daily operation of Data Management Platforms;
Perform the conduct UAT testing, provide trainings, support data migration, identify issues in the master data management processes and rectify them by proposing practical solutions;
Perform analytics tasks, including but not limited to predictive statistical models, customer profiling, segmentation analysis, data analysis, data mining, data extraction, machine learning and data enhancement;
Work closely with business stakeholders to pilot and drive CDM projects by gathering and understanding business requirements to our key client;
Analyze in-depth site trends, digital landscape and competitive insights;
Generate regular reports and perform ad-hoc analysis / extractions.
Requirements:
Bachelor degree holder in Computer Science, Information Technology, Mathematics, Statistics or related discipline;
Minimum 5 years related experiences in Data-Driven environment;
Resourceful, sensitive to numbers, strong database management skills and practical experience in handling large amount of data;
Detail-minded, good team player, well-organized with strong communication and interpersonal skills;
Knowledge in Adobe Omniture will be advantage and with in-depth knowledge of Google Analytics.
With experiences on R/ Python/ SQL, will be an advantage;
Excellent command of written and spoken English and Chinese;
Possesses advanced Microsoft excel skills (eg. Pivot table, VLOOKUPS, compound functions).


What is in it for you

A stable long-term sustainable careers, built on a fun respectful culture with all the benefits of a full-time position including, Base + Bonus, Medical, Bank holidays, etc.",Senior,5 years,http://adecco.com.hk,Degree,Permanent,"Information Technology (IT), DBA, IT Management, Data Scientist",https://hk.jobsdb.com/hk/en/job/senior-data-management-and-analytics-manager-up-to-50k-month-bonus-medical-competitive-package-100003009854963?jobId=jobsdb-hk-job-100003009854963&sectionRank=346&token=0~e715eac5-4649-4bd2-8c3d-4d7c0d14fde2&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F12
"Machine Learning Specialist / Data Scientist ( In-house, NLP ) 30K - 45K",salary,Anywhere Everywhere Six Degrees Link Limited,2022-11-08,North Point,"Responsibilities
Manage and develop NLP models to build customer 360 and product relationships.
Deep experience in data mining and machine learning. Proficient in one or more areas of statistical modelling methods, text mining, graph analysis
Expertise in graph theory and graph data science concepts/algorithms, e.g. centrality measures, shortest-path, path expansion queries
Research and Development of Machine Learning solutions
Perform data management and analytics tasks in the data warehouse
Responsible for system design, development, testing, implementation, enhancement and maintenance under cloud (AWS/GCP) and in-house environment
Requirements
Degree in Data Science and Analytics, Applied Data Science, Computer Science, Statistics, or equivalent
Having working experience: Knowledge of advanced statistical techniques and concepts
1.5+ years as a data scientist or analyst in the e-commerce, FMCG, retail, or finance industry; or
2+ years in handling big data in the academic field
Good at manipulating big data with Python and SQL
Knowledge of Chinese Natural Language Processing will be an advantage
Experience with NLP libraries (e.g. SpaCy, Gensim, NLTK)
Knowledge of the principles of algorithms and models: BOW, Word2Vec, LSTM, BERT, etc.
Solid knowledge or experience in NLP algorithms (e.g. Text Classification, Named Entity Recognition, Relation Extraction)
Basic knowledge of Knowledge Graph
Experience with graph databases (e.g. AWS Neptune, Neo4j, Janusgraph )
Knowledge of the graph algorithms (e.g. Similarity, Pathfinding, Centrality)
Solid knowledge or experience in graph ML algorithms (e.g. Link Prediction, Entity Matching, Graph Embeddings",,,,,Full Time,"Information Technology (IT), Software Development, Others, Data Scientist",https://hk.jobsdb.com/hk/en/job/machine-learning-specialist-data-scientist-in-house-nlp-30k-45k-100003009846808?jobId=jobsdb-hk-job-100003009846808&sectionRank=347&token=0~e715eac5-4649-4bd2-8c3d-4d7c0d14fde2&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F12
Data Engineer,salary,Hongkong Land Group Limited,2022-11-10,Central,"Responsibilities:
Develop, maintain, test, and evaluate large-scale data processing solutions
Provide expertise and practical support in developing data platform solutions
Responsible for data pipeline development and maintenance, including data sourcing, extraction, cleansing, transformation, and validation
Identify, design, and implement internal process improvements: automating manual processes and optimizing data delivery
Monitor performance and implement any necessary optimization changes and requirements
Support the business to define and update data retention policies
Support data architect and data scientists in data integration & transformation efforts
What you’ll need to succeed:
At least 3 years hands on experiences in SQL databases and / or data warehouses
Solid experience in writing and configuring stored procedures, functions, and triggers
Proven experience in data modelling, data access patterns and performance tuning
At least 1 year development experience in Python; working knowledge in NoSQL database
Familiarity with security configuration and best practices within data lakehouse
Exposure to large, complex data environments; big data environments and public cloud highly desirable
Excellent Communications skills in English
What you need to do now:
If you're interested in this role, click 'Apply Now'. Salary and benefits will be commensurate with qualifications and experience. For more information about Hongkong Land, please visit our website: http://www.hkland.com/
Information collected is for this recruitment and selection only. Applicants not hearing from us within four weeks from the date of advertisement may consider their applications unsuccessful. All documents and personal data of unsuccessful applicants will be destroyed once the post is filled.",Entry Level,3 years,http://www.hkland.com,Non-Degree Tertiary,"Full Time, Permanent","Information Technology (IT), DBA, Technical Writing, Data Scientist",https://hk.jobsdb.com/hk/en/job/data-engineer-100003009852091?jobId=jobsdb-hk-job-100003009852091&sectionRank=348&token=0~e715eac5-4649-4bd2-8c3d-4d7c0d14fde2&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F12
Data Team Head (Data Management) (Banking /Insurance) (90-100K),salary,Manpower Services (Hong Kong) Limited,2022-11-11,Central,"My client is now looking for a Data Team Head to join their team.  Responsibilities:  
Responsible for the overall data management strategy and metadata management;
Understand the data models and work processes in different business domains to identify their interactions, and formulate a strategy for data aggregation and achieving data consistency and accuracy;
Establish the infrastructure for a scalable data mart / warehouse / platform and data visualisation, and propose solutions
Formulate the data governance framework including the practices for data processing, monitoring data flow and ensuring data quality;
Serve as the leading technical expert for innovative data projects; and
Communicate with different business units on the data strategy and promote good data culture within the organisation.
 Requirements:
University degree preferably in Computer Science, Information Technology, Engineering, Mathematics, or related disciplines;
A minimum of 10 years' solid experience in data analytics, data application / platform management, master data management, information delivery, with at least 5 years’ management role;
Solid track record of IT sizable project experience in data warehouse, data analytics, ETL (extract, transform, load), business intelligence reporting, etc.;
Strong technical foundation and knowledge on cloud data platform implementation in the banking, finance and insurance industry is preferable;
Experience in data warehouse / data mart solution design and delivery using numerous relationship database technologies is preferable; 
Proficiency in both English and Chinese with good communication and presentation skills.
If you are interested in this position or any other related opportunities, please send your CV (Word format) to allen.poon@manpowergrc.hk for more information.",Senior,N/A,http://www.manpowergroupgrc.hk,Degree,Full Time,"Information Technology (IT), IT Project Management / Team Lead, Data Scientist",https://hk.jobsdb.com/hk/en/job/data-team-head-data-management-banking-insurance-90-100k-100003009857156?jobId=jobsdb-hk-job-100003009857156&sectionRank=349&token=0~e715eac5-4649-4bd2-8c3d-4d7c0d14fde2&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F12
Data Analyst | Global Investment Bank | AI/ML/Big Data Projects,salary,TEKsystems,2022-11-10,Central & Western Area,"Leading investment bank in Hong Kong is hiring seasoned data analysts to support their data analytics, data management and transformation, and ML initiatives. 

Highlights:
This is a new data team within their special resilience division, focusing on ML and analytics, and leveraging the insights generated to create better business outcomes.
Currently, there are a lot of metrics and high-volume data that need to be analyzed and visualized in the form of insightful dashboards - which is why they are looking to bring in an experienced data analyst.
This is a critical initiative and a global team and there are plenty of data analytics initiatives in their pipeline, as well as plans to leverage AI/ML in the near future.
Requirements:
Solid experience in data analysis
Experience in technical tools such as Excel, VBA, PowerBI or Tableau
Experience in NLP and machine learning modelling
Background in financial services projects (preferred)
Good communication and stakeholder engagement skills
Benefits:
Great exposure and the inclusive working environment internally within an investment bank landscape
Steep learning curve and scope for upskilling by being part of a global project team that upholds the highest technology standards and latest data practices
Be part of a highly skilled international team that operates in a fully agile, fast-paced manner
Get a salary increment upto 18-25% and enjoy work from home benefit
Opportunity for career growth and long-term progression",,,,Degree,"Full Time, Permanent","Information Technology (IT), Data Scientist",https://hk.jobsdb.com/hk/en/job/data-analyst-%7C-global-investment-bank-%7C-ai-ml-big-data-projects-100003009850411?jobId=jobsdb-hk-job-100003009850411&sectionRank=351&token=0~e715eac5-4649-4bd2-8c3d-4d7c0d14fde2&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F12
Senior Data Analyst / Data Analyst,salary,Manpower Services (Hong Kong) Limited,2022-11-10,Central & Western Area,"Job description
Design and deliver data analytics solution for a given use case or business problem statement
Develop algorithms and statistical predictive models to identify business challenges and opportunities, and support developing business strategies
Develop and support analytics data model and conduct data asset management
Develop analytics reports and visualization dashboard for business monitoring and delivering insights
Support business campaign activities and deliver related MIS report
Support the data governance of data platform, including data requirement management, data ingestion management and authorization management
Support ad-hoc analysis request as required
Requirements:
Degree or above in Mathematics, Statistics, Information Technology or relevant disciplines
3+years experience relating to data analytics
Proficiency in Python, SAS, R , VBA or similar analytically oriented  programming languages
Experience with data visualization tools such as Tableau, Power BI preferred
Banking, Financial Services or FinTech industry experience preferred
Strong analytical mindset and problem solving skills
Excellent communication and presentation skills with good command of English and Chinese in both spoken and written, including Putonghua
Candidates with less experience will also be considered.",Entry Level,3 years,http://www.manpowergroupgrc.hk,Degree,Permanent,"Information Technology (IT), Support, Data Scientist",https://hk.jobsdb.com/hk/en/job/senior-data-analyst-data-analyst-100003009852542?jobId=jobsdb-hk-job-100003009852542&sectionRank=352&token=0~e715eac5-4649-4bd2-8c3d-4d7c0d14fde2&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F12
Data Analyst - Python (Consumer Banking),"HK$25,000 - HK$35,000 /month",Chandler Macleod Group (HK) Limited,2022-11-09,district,"Responsibilities:
Design and execute various contextual marketing campaigns as well as provide actionable insights to improve program effectiveness:
Leverage new data points, models, behavior-based triggers
Working with business and marketing to ensure efficient targeting and communication
Responsible for the A/B test to gain insights and learning
Identify opportunities from data-driven analytics to drive customer quality and campaign conversion
Develop and industrialize mechanism providing insightful campaign analytics to business to enable:
Timely and informative business decision-making
Preparation of robust marketing plan to boost up the business
Lead and manage data and analytics projects
Constantly review and streamline the current operational workflow to improve the team productivity and efficiency
Requirement:
Minimum 2 years working experiences in business analytics or campaign management experience
Experience in banking industry especially consumer banking is highly preferred but not a must
University degree in Information Management, Computer Science, Statistics, Operations Research or another quantitative discipline
Working experiences with Python
Experience in SAS, SQL, and /or campaign tools are higly preferred but not a must
In-depth knowledge in data and ability to interpret data
Proficient in visualization tool such as Qlikview, PowerBI a plus
Advanced knowledge in Hadoop, Spark a plus
Experiences in campaign management and execution a plus
Interested parties please click ""Apply Now"" or contact Ernest Hung on +852 2833 4198 for more information.

Interested parties could also send your full resume with expected salary to ernest.hung @ chandlermacleod.com . Successful applicants will be contacted within 2 working days.",Middle,2 years,http://www.chandlermacleod.asia,Degree,"Full Time, Contract","Banking / Finance, Others, Information Technology (IT), Others, Data Scientist",https://hk.jobsdb.com/hk/en/job/data-analyst-python-consumer-banking-100003009847717?jobId=jobsdb-hk-job-100003009847717&sectionRank=355&token=0~e715eac5-4649-4bd2-8c3d-4d7c0d14fde2&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F12
Assistant Officer (Warehouse Services) (Direct Contract + Contract End Gratuity),salary,Manpower Services (Hong Kong) Limited,2022-11-10,Central & Western Area,"Job Description:
To handle administrative work including shipping documents and maintain the proper filing system
To provide customer services at warehouse counter related to goods issuance
To perform data processing and analysis as well as prepare warehouse documents and reports
To monitor and report the status of revenue expenditure spending
Requirements:
Bachelor’s Degree in Business, Engineering, Logistics or related disciplines
A minimum of 2 years’ administration work experience in warehouse and logistics fields
Familiar with MS Office and warehouse management systems/ ERP systems
Good command of English and Chinese languages, both spoken and written
Holder of an Industrial Safety Training Certificate (Green Card) and knowledge of documented management system, e.g. ISO 9000 and ISO 45001, preferred
Location: Ap Lei Chau",Entry Level,N/A,http://www.manpowergroupgrc.hk,Degree,Permanent,"Information Technology (IT), Application Specialist - Software, Software Development, Data Scientist",https://hk.jobsdb.com/hk/en/job/assistant-officer-warehouse-services-direct-contract-contract-end-gratuity-100003009852543?jobId=jobsdb-hk-job-100003009852543&sectionRank=357&token=0~e715eac5-4649-4bd2-8c3d-4d7c0d14fde2&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F12
"Data Analyst, Insurance, 18k - 24k (WELCOME FRESH GRAD)",salary,Ambition,2022-11-09,Central & Western Area,"Job Duties
Provide data analysis and insights to support business planning, including preparation of data to assist preparation of annual budgets and forecasts
Continuously seek to improve quality of reports, accuracy of data and data integrity
Compile regular management reports
Analysis models and automation of processes. Develop and initiate measurable improvements to work processes
Monitor regional economic developments that could affect business and provide analytical support and compile management reports
Requirements
Degree holder in data science or related discliplines
1 - 2 years of relevant working experience in Insurance companies
Good communication and interpersonal skills
If this job isn't quite right for you, but you know someone who would be great at this role, why not take advantage of our referral scheme? We offer HKD1000 in Apple gift cards for every referred candidate who we place in a role. Terms & Conditions Apply. https://www.ambition.com.hk/refer-a-friend",Entry Level,1 year,http://www.ambition.com.hk,Degree,"Full Time, Contract","Information Technology (IT), Product Management / Business Analyst, Data Scientist",https://hk.jobsdb.com/hk/en/job/data-analyst-insurance-18k-24k-welcome-fresh-grad-100003009847394?jobId=jobsdb-hk-job-100003009847394&sectionRank=358&token=0~e715eac5-4649-4bd2-8c3d-4d7c0d14fde2&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F12
Business Analysis Manager,salary,China Unicom (Hong Kong) Operations Limited,2022-11-08,Tsim Sha Tsui,"Job Description

1. Responsible for connecting with relevant units of the group, provincial branches and international companies, and providing professional support for international business income data;
2. According to actual business needs, prepare analysis reports related to international business and achieve data visualization;
3. Responsible for coordinating and holding the monthly Operation Scheduling Meeting of the company, and outputting the presentation materials of the Marketing Department;
4. Responsible for coordinating and driving the resolution of problems and difficulties in the business process, and monitoring the closed loop of key work;
5. Responsible for the implementation of the Operation Scheduling Meeting mechanism, and iterative optimization according to actual needs;
6. Complete other tasks assigned by the leader.

Job Requirements

1. University graduate in Information Technology/Accounting/Data Science or related disciplines;
2. At least 3 years working experience in business analysis, experience in telecommunications industry is a plus;
3. Familiar with office software, such as Microsoft office (Word, Excel, PowerPoint) and data analysis application, such Tableau、QlikView、Power BI;
4. Strong analytical skills, high level communication and coordination skills;
5. Pay attention to detail, strong sense of responsibility and be able to work under pressure;
6. Good command of spoken and written English and Chinese, fluency in Cantonese is preferred.",Middle,3 years,http://www.chinaunicomglobal.com/hk,Degree,"Full Time, Permanent","Information Technology (IT), Product Management / Business Analyst, Marketing / Public Relations, Marketing - Market Research, Data Scientist",https://hk.jobsdb.com/hk/en/job/business-analysis-manager-100003009843608?jobId=jobsdb-hk-job-100003009843608&sectionRank=359&token=0~e715eac5-4649-4bd2-8c3d-4d7c0d14fde2&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F12
Data Analyst / Assistant Data Analyst / Associate Data Analyst,salary,Bank of China (Hong Kong) Limited,2022-11-09,Shatin Area,"Responsibilities:
Coordinate with business units to implement data accountability
Formulate and maintain data standards and data specifications
Enhance metadata management process and provide support for data dictionary enhancement
Monitor data quality and conduct root cause analysis on data quality issues
Support external data management for data sharing
Review and update data management policies and procedures regularly 
Conduct assessment and analysis on data governance maturity for follow-up planning and execution
Drive changes on data management workflows and processes
Conduct research for regulatory requirements and best market practices of data governance
Support all other data management tasks as assigned
Requirements:
Degree or above, Preferably with Certified Data Management Professional (CDMP) Practitioner Certificate and Tableau Desktop Specialist Certification
2 years or above working experience in information technology or data management in the banking or other industries. 
Actively learn new ideas, new models, new technologies and new systems
Strong analytical capabilities with logical and creative thinking mindset
Good writing and communication skills in both Chinese (including Putonghua) and English; highly-skilled in SQL, familiar with Microsoft Office
Possess strong analytical capabilities
Supportive to change management
Good interpersonal relationship and communication skill with team spirit",Middle,3 years,,Degree,Full Time,"Information Technology (IT), Data Scientist",https://hk.jobsdb.com/hk/en/job/data-analyst-assistant-data-analyst-associate-data-analyst-100003009848443?jobId=jobsdb-hk-job-100003009848443&sectionRank=360&token=0~e715eac5-4649-4bd2-8c3d-4d7c0d14fde2&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F12
Business Analyst (Data Project),salary,China Life Insurance (Overseas) Company Limited,2022-11-11,Hung Hom,"Responsibilities 
Collaborate with related parties: both users and IT team 
Analyze business cases and collect user requirements 
Propose whole solution, including data source, data logic, data flow, and functional specifications •
Coordinate to solve users’ daily problems 
Monitor the progress of data oriented projects

Requirements
Bachelor degree in Computer Science, Computer Engineering, Information Systems, Mathematics, Statistics or related discipline
Minimum 5 years' experience in Business Analyst or data development 
Familiar with data tools SQL, Python, one or more BI tools, database 
Familiar with data product and data development lifecycle 
Solid experience in finance or insurance service industry is preferable 
Knowledge in data management is an advantage 
Positive working attitude 
Good at communication and documentation
Good command of both written and spoken English and Chinese (including Mandarin)",Middle,5 years,http://www.chinalife.com.hk,Degree,"Full Time, Permanent","Information Technology (IT), Product Management / Business Analyst, Data Scientist",https://hk.jobsdb.com/hk/en/job/business-analyst-data-project-100003009857190?jobId=jobsdb-hk-job-100003009857190&sectionRank=331&token=0~e715eac5-4649-4bd2-8c3d-4d7c0d14fde2&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F12
Data Analyst,salary,Hongkong Land Group Limited,2022-11-10,Central,"Responsibilities:
The Data Analyst will work with the BU to understand the business priorities, design the data driven solution, and manage a team to develop the solution and business process to deliver measurable business outcomes
Understand business priorities and requirements and identify opportunities where analytics can create business value
Translate business needs into tangible analytics requirements and design the potential end-to-end solutions
Serve as the bridge between business users and data scientists / engineers to experiment, develop, test and implement successful data driven solutions
Manage the end-to-end solution delivery and the key stakeholders involved
Ensure data / model driven experiments are designed, conducted, and analyzed effectively to get insights and recommendations
Support the execution of experiment from both business and statistical requirements
Be the ambassador for enterprise-wide adoption of data and analytics capabilities
What you’ll need to succeed:
Strong marketing background and business acumen
Strong statistical knowledge and analytical skills are required; knowledge in data pipelines & architecture, data analytics is a plus
Experience in leading development projects in data analytics driven applications for business users is strongly preferred, especially in marketing and customer experiences
Understanding of SDLC and MLOps methodologies is a plus
Ability to navigate in a complex environment and achieve outcome
Passion to help business with a ‘can-do’ attitude
Excellent Communications skills in English; Chinese literacy is preferred
What you need to do now:
If you're interested in this role, click 'Apply Now'. Salary and benefits will be commensurate with qualifications and experience. For more information about Hongkong Land, please visit our website: http://www.hkland.com/
Information collected is for this recruitment and selection only. Applicants not hearing from us within four weeks from the date of advertisement may consider their applications unsuccessful. All documents and personal data of unsuccessful applicants will be destroyed once the post is filled.",Entry Level,3 years,http://www.hkland.com,Non-Degree Tertiary,"Full Time, Permanent","Information Technology (IT), DBA, Technical / Functional Consulting, Data Scientist",https://hk.jobsdb.com/hk/en/job/data-analyst-100003009852255?jobId=jobsdb-hk-job-100003009852255&sectionRank=332&token=0~e715eac5-4649-4bd2-8c3d-4d7c0d14fde2&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F12
(Senior) Data Scientist,salary,A.S. Watson Retail (HK) Limited,2022-11-10,Shatin Area," Come and join a Winning Team
 We are Awesome !
 Why Should You Join Us?
 At ASW, we believe in our people, in teamwork and the importance of your personal growth. If you are looking for the opportunity to join our award-winning international family with 16,300+ stores across 28 markets in Asia and Europe, the ASW family welcomes you…  #BePartofMORE
 You can enjoy :   
Convenient office location, less than 5 min. walk from MTR
Free round-trip lunchtime shuttle bus services to Shatin
Comprehensive Medical and Life insurance coverage, including your spouse and children
Well-equipped Gym inside our office building
Onsite Clinic and Lactation Room
Role Purpose:
We are looking for a (Senior) Data Scientist to discover valuable insights from vast amount of data that help us make smarter decisions and deliver better products and services to our customers. The primary focus of the role is to design and develop data solutions and answer business questions through applying machine learning techniques, performing statistical analysis and building high quality predictive systems integrated in our solutions.
A typical day in this Role: 
Solving complex business problems by designing and implementing algorithms and models.
Measuring and optimizing the performance of algorithms and models.
Enhancing data collection procedures to include information that is relevant to building advanced analytics.
Working closely with project managers and commercial users to understand business requirements and translating them into technical requirements.
Bringing in best practices in advanced data analytics, predictive modeling and other development processes.
Assisting in promoting data culture and practices in the organization.
 This job is a good fit for You if:  
You are a PROBLEM SOLVER.  You make decisions based on evidence-based opinions. 
You are a DETAILER.  You deliberate fully before making decisions and will need to see all the facts before reaching a conclusion. You follow up rigorously. 
You are an EXPERT.  You have in-depth knowledge of a key area and seek possible solutions through study and research. 
Success will depend on:  
Degree in Statistics, Mathematics, Computer Science, Machine Learning or related field.
Familiar with various data manipulation, machine learning & statistical techniques.
Proficient in SQL, Python and R.
Self-motivated, adaptable in a fast-paced environment and with a strong sense of ownership.
Able to initiate and drive projects to completion with minimal guidance.
Able to communicate the results of analyses in a clear and effective manner.
With a good understanding of software engineering best practices.
Please click the below video to know more about our Big Data Team:
A Day in the life of Big Data Team


What is holding you back?
 Don’t miss out on this great chance to shape Your life!
  Apply now! 
Interested parties, please send your resume with current and expected salary package to our Company’s email.  

We are an equal opportunity employer and welcome applications from all qualified candidates. The information provided will be treated in strict confidence and be used only for consideration of your application for relevant/ similar posts within the A.S. Watson Group. ",Entry Level,2 years,https://www.aswatsoncareers.com/,Degree,"Full Time, Permanent","Information Technology (IT), Data Scientist",https://hk.jobsdb.com/hk/en/job/senior-data-scientist-100003009852573?jobId=jobsdb-hk-job-100003009852573&sectionRank=333&token=0~e715eac5-4649-4bd2-8c3d-4d7c0d14fde2&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F12
Data Center Operator,"HK$14,000 - HK$20,000 /month",Kyndryl Hong Kong Limited,2022-11-10,Central,"The job of a data center operator entails overseeing environments of a data center where they supervise systems and also identify, log, and report issues to their seniors. They write instructions for the data centers and are responsible for the maintenance of configurations of all systems within them. 
Operators perform precautionary system maintenance to ensure that the center’s systems and network are functioning well. They develop and put in place policies so that work processes are executed efficiently and as per schedule.
Technicians coordinate with other support personnel to guarantee that uptime is maximized so that the data center can provide quality services. They conduct evaluations to identify and tackle ineffective power and cooling systems.
To mitigate risks of downtime, operators deploy data and system security measures.  They coordinate with clients to offer support services for data and systems. Operators research in order to identify trends in data centers. 
Operators job involves carrying out procedures needed to maintain data, transactions, and reports from systems, supporting administrators and end users, maintaining work registers, and documentation of processes, performing user administration tasks, such as adding, modifying, and removing disk space management, performing backups and file restores, and monitoring activity and access of the data center and its operations section to ensure that there is compliance of security policies.

Requirements

3 years OP working experience",Middle,3 years,,Degree,Full Time,"Information Technology (IT), Data Scientist",https://hk.jobsdb.com/hk/en/job/data-center-operator-100003009851730?jobId=jobsdb-hk-job-100003009851730&sectionRank=334&token=0~e715eac5-4649-4bd2-8c3d-4d7c0d14fde2&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F12
